,Year,Per capita Income
0,2016,37974.83379352675
1,2017,38803.29886874952
2,2018,39631.763943972066
3,2019,40460.22901919484
4,2020,41288.69409441762
5,2021,42117.15916964039
6,2022,42945.624244862935
7,2023,43774.08932008571
8,2024,44602.554395308485
9,2025,45431.01947053103
10,2026,46259.4845457538
11,2027,47087.94962097658
12,2028,47916.414696199354
13,2029,48744.879771421896
14,2030,49573.34484664467
15,2031,50401.80992186745
16,2032,51230.27499708999
17,2033,52058.740072312765
18,2034,52887.20514753554
19,2035,53715.670222758316
20,2036,54544.13529798086
21,2037,55372.60037320363
22,2038,56201.06544842641
23,2039,57029.530523649184
24,2040,57857.99559887173
25,2041,58686.4606740945
26,2042,59514.92574931728
27,2043,60343.39082453982
28,2044,61171.855899762595
29,2045,62000.32097498537
30,2046,62828.786050208146
31,2047,63657.25112543069
